folder,formula,ismetal,H-mass,e-mass,bandgap,bandgap_type,formation_energy_per_atom,ehull,ε∥ ,ε⊥ 
1,Bi2I2O,True,,,-2.7898,Indirect,-0.5297501,0.594526347,,
2,Bi2K2Mn,True,,,-0.4612,Indirect,0.697860414,1.108021287,,
3,Bi2O3,False,2.023,-4.166,2.6442,Indirect,-1.98661011,0.2507593,,
4,Bi7Br8Rh,False,1.071,0.373,0.9361,Indirect,-0.7836891181250001,0.125187943,,
5,AlCl8Nb,False,-0.55,-5.422,2.067,Indirect,-1.4819039604,0.0818363,,
6,BiF20Sb3,False,-21.86,-16.568,2.0573,Indirect,-2.074108647916667,0.014700563,,
7,BiF9Xe,False,60.515,-9.954,1.9416,Indirect,-1.1793175545454544,0.023027273,,
8,BiO5Re,False,6.173,-17.123,2.6933,Indirect,-2.357836642857143,0.168317202,,
9,BiTe2Th2,True,,,-2.0244,Indirect,0.1484343899999999,1.299244263,,
10,Br12TeZr2,False,-4.413,-2.497,2.4258,Indirect,-1.4257027200666663,0.092901667,,
11,Br2C3O,False,20.533,4.141,1.2267,Indirect,-0.3858275933333335,0.387942125,,
12,Br2CSe4,False,-2.98,23.731,1.3285,Indirect,-0.1452651085714283,0.340275693,,
13,Br2CuN2,True,,,-0.5708,Indirect,0.6222678280000002,1.43135479,,
14,Br2Dy2O,True,,,-0.2914,Indirect,-1.597014542,1.259799131,,
15,Br2Er2O,True,,,-0.2772,Indirect,-1.6208138120000002,1.227446767,,
16,Br2FPb2,True,,,-2.0636,Indirect,-0.7984197720000001,0.74539856,,
17,Br2FSm2,True,,,-0.5044,Indirect,-1.486109232,0.872077503,,
18,Br2FTm2,True,,,-0.5786,Indirect,-1.547624292,0.81959998,,
19,Br2FYb2,True,,,-0.6042,Indirect,-1.551480412,0.55154022,,
20,Br2Ge2S3,False,12.895,3.42,2.3175,Indirect,-0.5567802488571425,0.051520143,,
21,Br2Ho2O,True,,,-0.2605,Indirect,-1.6052190320000002,1.246997862,,
22,Br2La2O,True,,,-0.1519,Indirect,-1.571552712,1.281742875,,
23,Br2Lu2O,True,,,-0.3441,Indirect,-1.6560324719999997,1.202444953,,
24,Br2N2Zn,True,,,0.2235,Indirect,0.170690558,0.896071711,,
25,Br2NP,False,21.556,-3.483,3.0378,Indirect,-0.5233450347499997,0.047571075,3.438378964,3.679346451
26,Br2NTh2,True,,,-0.4715,Indirect,-0.6812595020000003,1.28795653,,
27,Br2NU2,True,,,-0.3386,Indirect,-0.2603739419999996,1.3975402,,
28,Br2Nd2O,True,,,-0.2132,Indirect,-1.4749922020000004,1.35109835,,
29,AgF9Xe,False,6.679,-6.368,1.5684,Indirect,-0.6226171272727273,0.008537586,,
30,Br2O3,False,49.814,-69.491,1.9605,Direct,-0.7700749520000001,0.3144466,,
31,Br2OPr2,True,,,-0.2088,Indirect,-1.508048792,1.355071417,,
32,Br2OPu2,True,,,-0.2252,Indirect,-0.444418812,1.135154383,,
33,Br2OS,False,3.42,-3.399,2.6398,Direct,-0.9443277885,0.103487594,,
34,AlI3,False,10.655,-2.274,3.0725,Indirect,-0.6116931250000001,0.093639,3.244740188,2.621894355
35,Br2OSm2,True,,,-0.2287,Indirect,-1.510062172,1.32726635,,
36,Br2OTb2,True,,,-0.2493,Indirect,-1.5766649788000002,1.271973093,,
37,Br2OU2,True,,,-0.4226,Indirect,-1.1237293119999996,1.240120175,,
38,Br2OY2,True,,,-0.2142,Indirect,-1.6521583120000003,1.216720417,,
39,Br2OYb2,True,,,-0.3419,Indirect,-1.644861752,0.99560572,,
40,Br2O,False,4.115,-1.809,1.9376,Indirect,-0.4786662866666666,0.36623915,,
41,Br2P4Se3,False,2.037,-2.469,2.2095,Direct,-0.3074450306666665,0.104377861,,
42,Br2S7Te,False,8.809,5.608,2.0119,Indirect,-0.1240454493000001,0.08411905,,
43,Br2Si,False,54.101,-39.716,2.408,Indirect,-0.9894395422222222,0.093370636,,
44,Br2Th,False,-12.095,-8101.586,0.5104,Direct,-0.3303739366666667,1.582748283,,
45,Br3CF,False,-4.125,-3.517,3.2528,Direct,-0.493203418,0.293328738,,
46,Br3Ga,False,32.836,-2.4,3.2053,Indirect,-1.09878964975,0.067777075,3.025970271,2.467058449
47,Br3InSn,False,8.191,1.954,2.9426,Indirect,-0.9153734746000002,0.1710879,,
48,Br3NSe2,False,-21.492,8070.842,1.2089,Indirect,-0.1215734733333331,0.388679792,,
49,Br3OP,False,8.711,-35.787,3.2789,Indirect,-1.2646878938,0.09220405,3.383336642,3.946941739
50,Br3P,False,-1.407,2.971,3.2049,Indirect,-0.6295962672500001,0.1017562,,
51,Br3Re3S4,False,1.583,-0.145,0.0291,Direct,-0.5320177816000005,0.139134383,,
52,AlI6Sb,False,2.422,-58.017,2.0443,Indirect,-0.4821795625,0.0759465,,
53,Br3Re3Te4,True,,,-0.0023,Indirect,-0.3250681440000001,0.060462271,,
54,Br3Sb,False,4.963,-2.624,2.8128,Indirect,-0.8616710225,0.1490062,,
55,Br3Si,False,8.497,-2.259,4.1117,Indirect,-1.1149571725,0.067472316,3.883941122,4.1323222
56,Br3Tl,False,2.268,-1.307,1.1406,Indirect,-0.6294135,0.208667447,,
57,Br4C4S,False,7.305,-7.52,2.7602,Direct,0.0624604428888883,0.338912354,,
58,Br4C4Se,False,10.9,-5.323,2.7869,Direct,0.0905605422222224,0.484603667,,
59,Br4C,,,,,Direct,-0.093606559,0.355457075,,
60,Br4Ge,False,34.219,-5.421,2.9108,Direct,-0.8872817340000001,0.131906325,,
61,Br4ReTe2,False,10.008,0.801,2.0492,Indirect,-0.5818515957142859,0.064789786,,
62,Br4Sn,False,13.938,-4.745,2.5397,Direct,-0.956075654,0.10380775,,
63,Br4Te,False,3.965,5.876,2.421,Indirect,-0.723455909,0.06729015,,
64,Br5Nb,False,-1.764,-6.97,1.4959,Indirect,-1.3245176083333334,-0.005261125,,
65,Br5Pa,False,3.05,12.376,1.845,Indirect,-1.7755731166666664,0.066208125,,
66,As2O3,False,3.903,-2.719,3.4951,Direct,-2.05136538,0.07753395,3.998076986,3.164016175
67,Br5Re3Se2,False,11.343,-5.993,1.7094,Direct,-0.7145315800000003,0.02234345,,
68,Br5ReTe3,False,17.228,8.324,1.4113,Indirect,-0.500661336111111,0.120927911,,
69,Br5Ta,False,-15.208,-10.054,1.9981,Indirect,-1.3116825805,0.059426458,,
70,Br5W,False,3.576,-4.262,0.1446,Direct,-0.9958857333333334,0.101159972,,
71,Br6PdSe2,False,0.346,-4.865,1.4995,Indirect,-0.6080811366666667,0.065186911,,
72,As2O9S2,False,5.312,1.304,4.2264,Indirect,-2.178978706769231,0.055883077,10.74565388,3.717534965
73,Br6Te,False,0.979,0.38,0.4558,Indirect,-0.4530882007142857,0.267554782,,
74,Br6W,False,-3.009,-2.129,1.0972,Indirect,-0.9763356257142858,0.104431071,,
75,Br7Re3,False,-3.518,19656.132,0.5897,Indirect,-0.5542623360000001,0.148021328,,
76,Br8Ga2Pd,False,2.68,6.222,1.4088,Indirect,-0.9937361189090907,0.067830955,,
77,As2P2S7,False,13.219,-7.851,2.5403,Indirect,-0.111075646909091,0.092733545,7.150102826,3.88458775
78,Br8S9Ta4,False,8.524,5.769,1.2891,Indirect,-0.983762810380952,0.048983095,,
79,Br9IrSe3,False,-1.082,-5.041,1.7257,Indirect,-0.6513268015384616,0.0851125,,
80,Br9TaTe,False,-9.579,-84.531,2.1252,Indirect,-1.0350415934545456,0.072266091,,
81,Br9TeW,True,,,1.1097,Indirect,-0.854516654090909,0.103301939,,
82,BrCF2,False,-2.277,-10.511,4.3846,Indirect,-1.0813431949999996,0.187311328,,
83,BrCN,False,-16.733,0.794,5.1215,Indirect,0.4138789233333331,0.60410041,,
84,BrFO2,False,-1.75,5.875,2.7953,Indirect,-0.94027152,0.21695459,,
85,BrHgI,False,0.746,-21.178,1.9231,Indirect,-0.4338027766666665,0.066198786,,
86,BrHg,False,4.204,0.335,2.3309,Indirect,-0.495322515,0.15436225,,
87,BrSYb,False,2504332.975,-37691.332,0.0092,Indirect,-0.1174093246666663,1.526556625,,
88,As4S3,False,1.44,1.792,2.0299,Indirect,-0.0234142474285715,0.147543748,,
89,BrSe,False,2.75,-5.696,1.7878,Indirect,-0.4620526525,0.13219915,,
90,As4S5,False,1.964,4.197,1.8187,Indirect,-0.0785100188888891,0.109828097,,
